naam;samenvatting;thema;onderwerp;eigenaar;data url;data url error;kaart url;laagnaam
Limburg Geluidcontour luchtvaart;Hier de geluidscontouren rondom luchthavens in de provincie Limburg;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=geluidcontour_luchtvaart_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";geluidcontour_luchtvaart_v
Limburg Geluidscontouren Lnight 2011 EU-geluidskaart wms;Hier ziet u hoe hoog de geluidsbelasting is langs provinciale wegen gedurende de nacht in de Provincie Limburg.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=contour11_lnight_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";contour11_lnight_v
Limburg Geluidscontouren Lden 2011 EU-geluidskaart wms;Hier ziet u hoe hoog de geluidbelasting is langs provinciale wegen in Limburg op de door u gekozen locatie.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=contour11_lden_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";contour11_lden_v
Totaal GES-contouren;In de GES kaart is de milieubelasting gekoppeld aan gezondheidseffecten, zodat deze bruikbaar is voor beleid.;Regionale Kaarten;Kaarten;Provincie Utrecht;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-4_overlast_hinder_mgkp/MapServer/WMSServer"")";Timeout na 5 seconden;"=HYPERLINK(""http://geoservices.provincie-utrecht.nl/arcgis/services/m01-4_overlast_hinder_mgkp/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=75&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";75
Limburg Geluidbelasting panden EU-geluidskaart verschil 2006-2011;Het verschil in geluidbelasting voor huizen in de periode tussen 2006 en 2011.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=geluid11_pand_verschil_v&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";geluid11_pand_verschil_v
Limburg Geluidbelasting panden 2011 EU-geluidskaart max night;Hier de maximale geluidsbelasting gedurende de nacht voor huizen in de Provincie Limburg.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=geluid11_pand_v_ni&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";geluid11_pand_v_ni
Limburg Geluidbelasting panden 2011 EU-geluidskaart 24h;Hier de geluidsbelasting voor huizen in de Provincie Limburg.;Regionale Kaarten;Kaarten;Provincie Limburg;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?"")";;"=HYPERLINK(""http://portal.prvlimburg.nl/geoservices/milieu?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=geluid11_pand_v_24h&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";geluid11_pand_v_24h
Amsterdam Hoofdgroenstructuur;De Hoofdgroenstructuur omvat de minimaal benodigde hoeveelheid groen die Amsterdam wil borgen.;Regionale Kaarten;Kaarten;Gemeente Amsterdam;"=HYPERLINK("""")";"java.lang.NoClassDefFoundError: net/sf/json/JSONObject
net/sf/json/JSONObject";"=HYPERLINK(""http://webservices.gissupport.nl/geoserver/amsterdam/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=amsterdam:HoofdGroenStructuur&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";amsterdam:HoofdGroenStructuur
Geluidsbelasting verschil provinciale wegen 2006-2011;Verandering in geluidbelasting langs de drukste provinciale wegen in Noord-Holland tussen 2006 en 2011.;Regionale Kaarten;Kaarten;Provincie Noord-Holland;"=HYPERLINK("""")";404;"=HYPERLINK(""http://maps.noord-holland.nl/ArcGIS/services/PNH_atlas_leefomgeving/MapServer/WMSServer?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=1&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";1
Amsterdam Geluid Wegverkeer Lnight;Hier ziet u hoe hoog de nachtelijke geluidbelasting door het verkeer is in Amsterdam.;Regionale Kaarten;Kaarten;Gemeente Amsterdam;"=HYPERLINK("""")";"java.lang.NoClassDefFoundError: net/sf/json/JSONObject
net/sf/json/JSONObject";"=HYPERLINK(""http://webservices.gissupport.nl/geoserver/amsterdam/wms?SERVICE=WMS&VERSION=1.0.0&REQUEST=GetMap&LAYERS=amsterdam:weg_lnight&STYLES=&BBOX=13014,306243,286599,623492&WIDTH=400&HEIGHT=500&FORMAT=image/png&SRS=EPSG:28992"")";amsterdam:weg_lnight
